Project Section,Task,Crew,Start Date,Duration,End Date,Day Completed,Completion PCT
Afterburner  - Engineering,Final Approval,White,8/30/24,1,8/30/24,0,0.00%
Afterburner  - Engineering,fabrication drawings approval,White,8/30/24,1,8/31/24,0,100.00%
Afterburner  - Fabrication,Fabricate two frames,Duane,9/2/24,30,9/30/24,2,0.00%
Afterburner  - Fabrication,"14"" stainless steel pipe with insulation",Duane,9/9/24,5,9/13/24,0,0.00%
Afterburner  - Prep,Take off existing stack from 1 and 2 and Tee in 3,Duane,10/21/24,2,10/23/24,0,0.00%
Afterburner  - Prep,logistics - equipment delivery,Duane,9/3/24,2,9/4/24,0,0.00%
Afterburner  - Prep,Sprinkler pipe reroute,White,9/9/24,5,9/14/24,0,0.00%
Afterburner - Rigging,release shipment of afterburners to staging area,Duane,9/18/24,3,9/21/24,0,0.00%
Afterburner - Rigging,lift and position afterburners,Subcontractor,10/18/24,1,10/19/24,0,0.00%
Afterburner - Install,Plumbing - Gas and Utilities,Subcontractor,10/20/24,2,10/22/24,0,0.00%
Afterburner - Install,Frame install #1,Duane,10/2/24,7,10/9/24,0,0.00%
Afterburner - Install,Frame install #2,Duane,10/9/24,7,10/16/24,0,0.00%
Afterburner - Install,Start Up,Duane,10/23/24,2,10/25/24,0,0.00%
Afterburner  - Prep,Roof penetrations ,Subcontractor,9/3/24,1,9/4/24,0,0.00%
Flavor Batch System,Engineering,Duane,8/19/24,5,9/6/24,,
Flavor Batch System,Panel Fabrication,Duane,9/3/24,5,9/6/24,,
Flavor Batch System,Field Wiring & Terminations,Duane,9/9/24,5,9/13/24,,
Flavor Batch System,Programming,Duane,9/16/24,5,9/20/24,,
Flavor Batch System,Start up,Duane,9/23/24,5,9/27/24,,
